CODE,NAME,LEVEL,PARENT_CODE,STATUS
350102,鼓楼区,3,350100,1
350103,台江区,3,350100,1
350104,仓山区,3,350100,1
350105,马尾区,3,350100,1
350111,晋安区,3,350100,1
350112,长乐区,3,350100,1
350121,闽侯县,3,350100,1
350122,连江县,3,350100,1
350123,罗源县,3,350100,1
350124,闽清县,3,350100,1
350125,永泰县,3,350100,1
350128,平潭县,3,350100,1
350181,福清市,3,350100,1
350203,思明区,3,350200,1
350205,海沧区,3,350200,1
350206,湖里区,3,350200,1
350211,集美区,3,350200,1
350212,同安区,3,350200,1
350213,翔安区,3,350200,1
350302,城厢区,3,350300,1
350303,涵江区,3,350300,1
350304,荔城区,3,350300,1
350305,秀屿区,3,350300,1
350322,仙游县,3,350300,1
350403,三元区,3,350400,1
350404,沙县区,3,350400,1
350421,明溪县,3,350400,1
350423,清流县,3,350400,1
350424,宁化县,3,350400,1
350425,大田县,3,350400,1
350426,尤溪县,3,350400,1
350428,将乐县,3,350400,1
350429,泰宁县,3,350400,1
350430,建宁县,3,350400,1
350481,永安市,3,350400,1
350502,鲤城区,3,350500,1
350503,丰泽区,3,350500,1
350504,洛江区,3,350500,1
350505,泉港区,3,350500,1
350521,惠安县,3,350500,1
350524,安溪县,3,350500,1
350525,永春县,3,350500,1
350526,德化县,3,350500,1
350527,金门县,3,350500,1
350581,石狮市,3,350500,1
350582,晋江市,3,350500,1
350583,南安市,3,350500,1
350602,芗城区,3,350600,1
350603,龙文区,3,350600,1
350604,龙海区,3,350600,1
350605,长泰区,3,350600,1
350622,云霄县,3,350600,1
350623,漳浦县,3,350600,1
350624,诏安县,3,350600,1
350626,东山县,3,350600,1
350627,南靖县,3,350600,1
350628,平和县,3,350600,1
350629,华安县,3,350600,1
350702,延平区,3,350700,1
350703,建阳区,3,350700,1
350721,顺昌县,3,350700,1
350722,浦城县,3,350700,1
350723,光泽县,3,350700,1
350724,松溪县,3,350700,1
350725,政和县,3,350700,1
350781,邵武市,3,350700,1
350782,武夷山市,3,350700,1
350783,建瓯市,3,350700,1
350802,新罗区,3,350800,1
350803,永定区,3,350800,1
350821,长汀县,3,350800,1
350823,上杭县,3,350800,1
350824,武平县,3,350800,1
350825,连城县,3,350800,1
350881,漳平市,3,350800,1
350902,蕉城区,3,350900,1
350921,霞浦县,3,350900,1
350922,古田县,3,350900,1
350923,屏南县,3,350900,1
350924,寿宁县,3,350900,1
350925,周宁县,3,350900,1
350926,柘荣县,3,350900,1
350981,福安市,3,350900,1
350982,福鼎市,3,350900,1
370000,山东省,1,,1
370100,济南市,2,370000,1
